Locus#	Freq. missing data
1	0.154472
2	0.0623306
3	0.0840108
4	0.0325203
5	0.0542005
6	0.146341
7	0.0108401
8	0.0569106
9	0.0325203
10	0.0758808
11	0.124661
12	0.0867209
13	0.0216802
14	0
15	0.0460705
16	0.0596206
17	0.0785908
18	0.243902
19	0.0216802
20	0.105691
21	0.00271003
22	0.0731707
23	0.0352304
24	0.460705
25	0.178862
26	0.0867209
27	0.111111
28	0.0704607
29	0.192412
30	0.0596206
31	0.0677507
32	0.227642
33	0.127371
34	0.0677507
35	0.200542
36	0.00542005
37	0.208672
38	0
39	0.0298103
40	0.0433604
41	0.327913
42	0.0352304
43	0.0785908
44	0.00813008
45	0.0406504
46	0.00542005
47	0.0650407
48	0.0785908
49	0.0867209
50	0.0108401
51	0.0840108
52	0.113821
53	0.00271003
54	0.0542005
55	0.0623306
56	0.0623306
57	0.0406504
58	0.0758808
59	0.0298103
60	0.314363
61	0.0650407
62	0.0596206
63	0.0650407
64	0.0243902
65	0.0921409
66	0.0379404
67	0.00271003
68	0.0677507
69	0.0677507
70	0.189702
71	0.0216802
72	0.0542005
73	0.151762
74	0.0108401
75	0.119241
76	0.0623306
77	0.0406504
78	0.0460705
79	0.108401
80	0.0542005
81	0.157182
82	0.0894309
83	0.0623306
84	0.124661
85	0.241192
86	0.544715
87	0.542005
88	0.0704607
89	0.0433604
90	0.0271003
91	0.341463
92	0.0460705
93	0.0677507
94	0.127371
95	0.100271
96	0.162602
97	0.284553
98	0.154472
99	0.0894309
100	0.165312
101	0.0243902
102	0.252033
103	0.0894309
104	0.0487805
105	0.233062
106	0.0758808
107	0.138211
108	0.0704607
109	0.111111
110	0.0948509
111	0.0298103
112	0.0758808
113	0.0325203
114	0.0514905
115	0.113821
116	0.376694
117	0.252033
118	0.0623306
119	0.0758808
120	0.0840108
121	0.0840108
122	0.0623306
123	0.0677507
124	0.165312
125	0.116531
126	0.00813008
127	0.0135501
128	0.197832
129	0.0406504
130	0.0704607
131	0.224932
132	0.501355
133	0.00813008
134	0.495935
135	0.0623306
136	0.178862
137	0.216802
138	0.157182
139	0.0758808
140	0.222222
141	0.105691
142	0.0216802
143	0.146341
144	0.0542005
145	0.0542005
146	0.102981
147	0.00542005
148	0.0813008
149	0.0785908
150	0.0325203
151	0.102981
152	0.0325203
153	0.113821
154	0
155	0.0271003
156	0.257453
157	0.184282
158	0.162602
159	0.0108401
160	0.0514905
161	0.102981
162	0.132791
163	0.165312
164	0.0135501
165	0.097561
166	0
167	0.349593
168	0.306233
169	0.138211
170	0.181572
171	0.100271
172	0.100271
173	0.143631
174	0.165312
175	0.0406504
176	0.0758808
177	0.0704607
178	0.181572
179	0.0596206
180	0.0514905
181	0.0433604
182	0.281843
183	0.0135501
184	0
185	0.100271
186	0.00271003
187	0.189702
188	0
189	0.0596206
190	0.0785908
191	0.00542005
192	0.176152
193	0.222222
194	0.0569106
195	0.0569106
196	0.0867209
197	0.0487805
198	0.113821
199	0.0813008
200	0.322493
201	0.173442
202	0.116531
203	0.0596206
204	0.0542005
205	0.0487805
206	0.0867209
207	0.170732
208	0.116531
209	0.0271003
210	0.0325203
211	0.0325203
212	0.0162602
213	0.0216802
214	0
215	0.0243902
216	0.0813008
217	0.100271
218	0.0677507
219	0
220	0.0162602
221	0.0813008
222	0.0271003
223	0.0406504
224	0.00542005
225	0.113821
226	0.0785908
227	0.0785908
228	0.154472
229	0.111111
230	0.132791
231	0.0813008
232	0.0677507
233	0.0514905
234	0.127371
235	0.140921
236	0.0569106
237	0.0650407
238	0.0162602
239	0.146341
240	0.0731707
241	0.102981
242	0.135501
243	0.00813008
244	0.325203
245	0.460705
246	0.227642
247	0.0406504
248	0.0460705
249	0.0569106
250	0.108401
251	0.00271003
252	0.0569106
253	0.0189702
254	0.165312
255	0.0108401
256	0.162602
257	0.0460705
258	0.00813008
259	0.0704607
260	0.0758808
261	0.0352304
262	0.0840108
263	0.181572
264	0.0542005
265	0.0840108
266	0.0514905
267	0.0542005
268	0.116531
269	0.113821
270	0.0894309
271	0.197832
272	0.0623306
273	0.0948509
274	0
275	0.140921
276	0.105691
277	0.00542005
278	0.105691
279	0.0379404
280	0.157182
281	0.0135501
282	0.00271003
