"Locus","Genot","Obs.Het","Exp.Het","P.value","s.d","Steps.done","islandpop","p.value.adjusted"
3,10,0.4,0.33684,1,0,1001000,"aotea.txt",1
5,10,0.1,0.1,1,0,1001000,"aotea.txt",1
9,10,0.4,0.50526,0.57258,0.00049,1001000,"aotea.txt",1
10,10,0.1,0.1,1,0,1001000,"aotea.txt",1
11,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
24,2,0,0.66667,0.33333,0.00047,1001000,"aotea.txt",1
25,9,0.11111,0.42484,0.0591,0.00023,1001000,"aotea.txt",1
32,10,0.4,0.33684,1,0,1001000,"aotea.txt",1
33,10,0.6,0.50526,1,0,1001000,"aotea.txt",1
35,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
38,10,0.6,0.50526,1,0,1001000,"aotea.txt",1
41,9,0,0.47059,0.00434,7e-05,1001000,"aotea.txt",1
46,10,0.4,0.44211,1,0,1001000,"aotea.txt",1
53,10,0.1,0.1,1,0,1001000,"aotea.txt",1
54,10,0.4,0.44211,1,0,1001000,"aotea.txt",1
55,10,0.4,0.44211,1,0,1001000,"aotea.txt",1
61,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
66,10,0.6,0.44211,0.48063,0.00051,1001000,"aotea.txt",1
72,10,0.4,0.50526,0.57302,0.00048,1001000,"aotea.txt",1
74,10,0.1,0.1,1,0,1001000,"aotea.txt",1
76,10,0.1,0.26842,0.1579,0.00037,1001000,"aotea.txt",1
77,10,0.1,0.26842,0.15851,0.00036,1001000,"aotea.txt",1
80,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
81,10,0.4,0.33684,1,0,1001000,"aotea.txt",1
87,5,0.4,0.53333,1,0,1001000,"aotea.txt",1
90,10,0.4,0.50526,0.57333,5e-04,1001000,"aotea.txt",1
93,10,0.1,0.26842,0.15867,0.00037,1001000,"aotea.txt",1
95,10,0.4,0.52632,0.56324,5e-04,1001000,"aotea.txt",1
102,10,0.6,0.50526,1,0,1001000,"aotea.txt",1
105,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
107,9,0,0.20915,0.05868,0.00024,1001000,"aotea.txt",1
108,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
116,6,0.16667,0.16667,1,0,1001000,"aotea.txt",1
119,10,0.8,0.50526,0.17268,0.00039,1001000,"aotea.txt",1
122,9,0.55556,0.42484,1,0,1001000,"aotea.txt",1
131,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
133,10,0.1,0.1,1,0,1001000,"aotea.txt",1
135,10,0.2,0.33684,0.30649,0.00048,1001000,"aotea.txt",1
141,10,0.4,0.33684,1,0,1001000,"aotea.txt",1
143,10,0.1,0.26842,0.15756,0.00036,1001000,"aotea.txt",1
147,10,0,0.18947,0.05248,0.00023,1001000,"aotea.txt",1
149,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
151,10,0.4,0.33684,1,0,1001000,"aotea.txt",1
156,9,0.55556,0.42484,1,0,1001000,"aotea.txt",1
159,10,0.1,0.1,1,0,1001000,"aotea.txt",1
169,10,0.6,0.52632,1,0,1001000,"aotea.txt",1
171,10,0.3,0.39474,0.47972,0.00051,1001000,"aotea.txt",1
180,9,0.33333,0.29412,1,0,1001000,"aotea.txt",1
182,6,1,0.54545,0.09012,0.00028,1001000,"aotea.txt",1
184,10,0.6,0.52632,1,0,1001000,"aotea.txt",1
187,10,0.6,0.50526,1,0,1001000,"aotea.txt",1
196,10,0.2,0.33684,0.3066,0.00045,1001000,"aotea.txt",1
202,6,0.83333,0.5303,0.39439,5e-04,1001000,"aotea.txt",1
203,10,0,0.33684,0.00971,9e-05,1001000,"aotea.txt",1
209,10,0.3,0.39474,0.47996,5e-04,1001000,"aotea.txt",1
210,10,0.8,0.50526,0.17361,0.00038,1001000,"aotea.txt",1
216,10,0.4,0.44211,1,0,1001000,"aotea.txt",1
220,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
226,10,0.1,0.1,1,0,1001000,"aotea.txt",1
228,9,0.22222,0.20915,1,0,1001000,"aotea.txt",1
232,10,0.1,0.1,1,0,1001000,"aotea.txt",1
235,10,0.3,0.47895,0.47939,0.00048,1001000,"aotea.txt",1
240,10,0.4,0.44211,1,0,1001000,"aotea.txt",1
241,10,0.6,0.44211,0.47898,0.00049,1001000,"aotea.txt",1
243,10,0.2,0.33684,0.30632,0.00046,1001000,"aotea.txt",1
246,6,0.5,0.40909,1,0,1001000,"aotea.txt",1
250,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
251,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
253,10,0.2,0.18947,1,0,1001000,"aotea.txt",1
266,10,0.5,0.52105,1,0,1001000,"aotea.txt",1
267,10,0.3,0.26842,1,0,1001000,"aotea.txt",1
268,10,0.1,0.1,1,0,1001000,"aotea.txt",1
271,10,0.5,0.39474,1,0,1001000,"aotea.txt",1
274,10,0.5,0.52105,1,0,1001000,"aotea.txt",1
275,10,0.3,0.52105,0.24529,0.00044,1001000,"aotea.txt",1
1,4,0,0.42857,0.14333,0.00035,1001000,"borneo.txt",1
2,15,0.06667,0.28736,0.01918,0.00014,1001000,"borneo.txt",1
3,13,0.15385,0.44308,0.03372,0.00017,1001000,"borneo.txt",1
5,11,0.09091,0.52381,0.01064,1e-04,1001000,"borneo.txt",1
6,4,0,0.42857,0.14301,0.00035,1001000,"borneo.txt",1
7,17,0.05882,0.05882,1,0,1001000,"borneo.txt",1
9,17,0,0.29947,0.00063,3e-05,1001000,"borneo.txt",1
10,13,0.53846,0.50769,1,0,1001000,"borneo.txt",1
12,14,0.21429,0.19841,1,0,1001000,"borneo.txt",1
14,18,0.38889,0.32222,1,0,1001000,"borneo.txt",1
15,15,0,0.12874,0.03506,0.00019,1001000,"borneo.txt",1
16,11,0,0.41558,0.0023,5e-05,1001000,"borneo.txt",1
20,7,0.28571,0.43956,0.44062,0.00049,1001000,"borneo.txt",1
21,18,0.44444,0.35556,0.52896,0.00048,1001000,"borneo.txt",1
22,14,0.57143,0.47619,0.58929,0.00048,1001000,"borneo.txt",1
23,17,0.23529,0.42781,0.08834,0.00028,1001000,"borneo.txt",1
24,8,0.125,0.325,0.20047,0.00039,1001000,"borneo.txt",1
25,12,0.25,0.48913,0.20586,0.00041,1001000,"borneo.txt",1
28,13,0.07692,0.47077,0.00398,7e-05,1001000,"borneo.txt",1
29,7,0.14286,0.14286,1,0,1001000,"borneo.txt",1
30,12,0.08333,0.3442,0.03108,0.00017,1001000,"borneo.txt",1
31,11,0,0.48485,0.00107,3e-05,1001000,"borneo.txt",1
33,5,0.4,0.53333,1,0,1001000,"borneo.txt",1
36,18,0.27778,0.24603,1,0,1001000,"borneo.txt",1
38,18,0.16667,0.15714,1,0,1001000,"borneo.txt",1
39,15,0.2,0.51724,0.03364,0.00019,1001000,"borneo.txt",1
42,15,0.06667,0.18621,0.10357,0.00029,1001000,"borneo.txt",1
43,12,0.08333,0.08333,1,0,1001000,"borneo.txt",1
44,17,0.52941,0.40107,0.27567,0.00046,1001000,"borneo.txt",1
45,17,0.23529,0.49911,0.04533,0.00021,1001000,"borneo.txt",1
