# This document produced by the Structure Harvester,
# http://taylor0.biology.ucla.edu/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing 
# STRUCTURE output and implementing the Evanno method. 
# Conservation Genetics Resources vol. 4 (2) pp. 359-361 doi: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# Plot version: vA.1 November 2012
# Web version: v0.6.94 July 2014
# File generated at 2022-Apr-03 13:15:33 PDT
# K	Reps	Mean LnP(K)	Stdev LnP(K)	Ln'(K)	|Ln''(K)|	Delta K
##########
2	10	-50236.0600	27.6397	NA	NA	NA
3	10	-48447.0300	121.5571	1789.030000	163.270000	1.343155
4	10	-46821.2700	112.8472	1625.760000	40.020000	0.354639
5	10	-45235.5300	217.3099	1585.740000	70.530000	0.324560
6	10	-43579.2600	123.1176	1656.270000	674.620000	5.479477
7	10	-42597.6100	513.6485	981.650000	436.260000	0.849336
8	10	-41179.7000	607.2901	1417.910000	763.490000	1.257208
9	10	-40525.2800	637.4067	654.420000	407.980000	0.640062
10	10	-40278.8400	880.0398	246.440000	697.750000	0.792862
11	10	-39334.6500	1197.2913	944.190000	9792.420000	8.178812
12	10	-48182.8800	26402.3242	-8848.230000	19239.540000	0.728706
13	10	-37791.5700	862.4269	10391.310000	17680.850000	20.501275
14	10	-45081.1100	17104.4695	-7289.540000	36629.370000	2.141509
15	10	-89000.0200	70144.6345	-43918.910000	18174.660000	0.259103
16	10	-114744.2700	107670.8265	-25744.250000	93884.450000	0.871958
17	10	-46604.0700	13420.6683	68140.200000	88578.190000	6.600133
18	10	-67042.0600	34889.4408	-20437.990000	344.080000	0.009862
19	10	-87824.1300	56604.7897	-20782.070000	37816.220000	0.668075
20	10	-70789.9800	36514.9281	17034.150000	26098.110000	0.714724
21	10	-79853.9400	52191.1683	-9063.960000	24554.900000	0.470480
22	10	-113472.8000	58198.0576	-33618.860000	55948.820000	0.961352
23	10	-91142.8400	41806.2509	22329.960000	26288.370000	0.628814
24	10	-95101.2500	36432.4286	-3958.410000	11018.460000	0.302436
25	10	-88041.2000	32440.7704	7060.050000	NA	NA
