Locus#	Freq. missing data
1	0.153034
2	0.0659631
3	0.0870712
4	0.0316623
5	0.0580475
6	0.147757
7	0.0105541
8	0.0580475
9	0.0369393
10	0.0817942
11	0.129288
12	0.0976253
13	0.0290237
14	0
15	0.0527704
16	0.0633245
17	0.0791557
18	0.248021
19	0.0290237
20	0.105541
21	0.00263852
22	0.0712401
23	0.0422164
24	0.453826
25	0.174142
26	0.0923483
27	0.118734
28	0.0765172
29	0.197889
30	0.060686
31	0.0738786
32	0.23219
33	0.126649
34	0.0712401
35	0.205805
36	0.00527704
37	0.211082
38	0
39	0.0316623
40	0.0474934
41	0.337731
42	0.0343008
43	0.0817942
44	0.00791557
45	0.0395778
46	0.00791557
47	0.0738786
48	0.0844327
49	0.0923483
50	0.0105541
51	0.0870712
52	0.118734
53	0.00263852
54	0.060686
55	0.0659631
56	0.0659631
57	0.0448549
58	0.0791557
59	0.0316623
60	0.316623
61	0.0712401
62	0.0633245
63	0.0659631
64	0.0237467
65	0.0949868
66	0.0422164
67	0.00263852
68	0.0712401
69	0.0738786
70	0.195251
71	0.0290237
72	0.0580475
73	0.153034
74	0.0131926
75	0.124011
76	0.060686
77	0.0448549
78	0.0527704
79	0.113456
80	0.055409
81	0.163588
82	0.0949868
83	0.0686016
84	0.126649
85	0.245383
86	0.53562
87	0.532982
88	0.0791557
89	0.0501319
90	0.0316623
91	0.350923
92	0.0474934
93	0.0712401
94	0.137203
95	0.102902
96	0.168865
97	0.28496
98	0.158311
99	0.0923483
100	0.171504
101	0.0316623
102	0.258575
103	0.0949868
104	0.0501319
105	0.237467
106	0.0817942
107	0.137203
108	0.0712401
109	0.116095
110	0.100264
111	0.0290237
112	0.0791557
113	0.0343008
114	0.055409
115	0.124011
116	0.379947
117	0.255937
118	0.0633245
119	0.0738786
120	0.0870712
121	0.0897098
122	0.0633245
123	0.0686016
124	0.168865
125	0.118734
126	0.0131926
127	0.0131926
128	0.203166
129	0.0448549
130	0.0765172
131	0.226913
132	0.498681
133	0.0105541
134	0.493404
135	0.0633245
136	0.182058
137	0.218997
138	0.16095
139	0.0844327
140	0.226913
141	0.113456
142	0.0237467
143	0.153034
144	0.055409
145	0.0580475
146	0.105541
147	0.00527704
148	0.0870712
149	0.0817942
150	0.0316623
151	0.108179
152	0.0369393
153	0.118734
154	0
155	0.0290237
156	0.263852
157	0.184697
158	0.16095
159	0.0105541
160	0.0580475
161	0.108179
162	0.134565
163	0.163588
164	0.0131926
165	0.100264
166	0
167	0.353562
168	0.308707
169	0.14248
170	0.182058
171	0.105541
172	0.102902
173	0.14248
174	0.163588
175	0.0448549
176	0.0817942
177	0.0686016
178	0.184697
179	0.0580475
180	0.0527704
181	0.0501319
182	0.279683
183	0.0184697
184	0
185	0.100264
186	0.00263852
187	0.189974
188	0
189	0.0659631
190	0.0817942
191	0.00527704
192	0.17942
193	0.224274
194	0.0580475
195	0.060686
196	0.0844327
197	0.0501319
198	0.121372
199	0.0791557
200	0.324538
201	0.168865
202	0.124011
203	0.060686
204	0.0580475
205	0.0474934
206	0.0949868
207	0.171504
208	0.118734
209	0.0316623
210	0.0343008
211	0.0395778
212	0.0158311
213	0.0211082
214	0
215	0.0263852
216	0.0791557
217	0.105541
218	0.0686016
219	0
220	0.0158311
221	0.0844327
222	0.0263852
223	0.0422164
224	0.00527704
225	0.121372
226	0.0791557
227	0.0817942
228	0.155673
229	0.113456
230	0.134565
231	0.0844327
232	0.0659631
233	0.0527704
234	0.124011
235	0.14248
236	0.055409
237	0.0659631
238	0.0158311
239	0.150396
240	0.0765172
241	0.105541
242	0.137203
243	0.00791557
244	0.329815
245	0.467018
246	0.23219
247	0.0422164
248	0.0501319
249	0.0580475
250	0.113456
251	0.00263852
252	0.060686
253	0.0184697
254	0.163588
255	0.0105541
256	0.163588
257	0.0527704
258	0.0105541
259	0.0738786
260	0.0791557
261	0.0369393
262	0.0923483
263	0.17942
264	0.060686
265	0.0897098
266	0.055409
267	0.0527704
268	0.121372
269	0.110818
270	0.0897098
271	0.200528
272	0.0686016
273	0.0949868
274	0
275	0.145119
276	0.108179
277	0.00791557
278	0.105541
279	0.0448549
280	0.16095
281	0.0158311
282	0.00263852
